Name,Quantity,Component
"Rpot1",1,"250 kΩ Potentiometer"
"SERVO1",1,"Positional Micro Servo"
"U1",1," LCD 16 x 2"
"U2",1," Arduino Uno R3"
"R1",1,"330 Ω Resistor"
"DIST2, DIST1",2," Ultrasonic Distance Sensor (4-pin)"
"D2",1,"Red LED"
"D3",1,"Yellow LED"
"D4",1,"Green LED"
"PIEZO1",1," Piezo"
"R4, R2, R3",3,"220 Ω Resistor"
